Test 2026-06-15.17-38-49:
[key] "I"
[key] " am"
[key] " test"
[key] "ing now"
[cur] 0
[cur] 16
[key] " "
[del] 1
[key] "."
[key] " "
[key] "And "
[key] "did"
[key] " you"
[key] " get information"
[key] " about where"
[key] " that pass"
[key] "ages?"
[cur] 18
[cur] 72
[key] "L"
[cur] 72
[del] 1
[cur] 71
[del] 1
[cur] 70
[del] 1
[key] " "
[key] "i"
[key] "s"
[key] "?"
[key] " "
[mic] on
[pause]
[fix] "And did you get information about where that passage is? " -> "And did you get information about where that passage is?"
[mic] "Or"
[mic] "Or did"
[mic] "Or did you"
[mic] "Or did you have"
[mic] "Or did you have to"
[mic] "Or did you have to search"
[mic] "Or did you have to search for"
[mic] "Or did you have to search for?"
[mic] "Or did you have to search for it"
[mic] "Or did you have to search for it?"
[mic] off
[expect] "I am testing now. And did you get information about where that passage is? Or did you have to search for it?"
[send] "I am testing now. And did you get information about where that passage is? Or did you have to search for it?"

